Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
503,2;33,66398;515,4;56,1312;294,8;48,7665278;48,68564294;9,617637517;9,49061539;26,99897323;Rennrad;04.11.2018;15:38:35;14:18:10;75;183;Training
462,8;32,13959;496,8;47,934;287;48,76635983;48,71549936;9,561165702;9,490795936;25,25151921;Rennrad;05.06.2016;14:00:50;12:44:24;73;183;Training
350,2;27,71632;399,8;51,0228;278;48,72038634;48,67307662;9,625174608;9,51489835;26,19340645;Rennrad;14.05.2020;15:20:29;14:13:09;73;183;Training
563,8;36,37775;472,6;54,684;245,4;48,79159849;48,71545779;9,532073541;9,404832814;27,7801462;Rennrad;15.10.2017;15:14:37;13:50:33;74;183;Pendeln
627;45,17447;1246,8;50,2848;736,4;47,28743076;47,15745519;12,8342118;12,74949247;26,11459555;Rennrad;03.06.2017;18:21:24;16:17:01;73;183;Training
626,6;42,41394;526;51,5952;296,8;48,78277578;48,70849947;9,641830204;9,50649742;24,42714293;Rennrad;12.05.2018;19:36:51;17:46:14;73;183;Training
999;59,42954;770;51,5628;272,2;48,71905421;48,57439823;9,577808389;9,497023858;24,2218808;Rennrad;04.07.2020;18:30:22;15:47:02;73;183;Training
248,2;24,31641;495,2;43,7364;272,4;48,7661248;48,71547237;9,561046595;9,490750339;26,39308506;Rennrad;17.04.2017;09:58:36;09:03:35;75;183;Training
3795,2;208,8906;751,2;59,8932;280,2;48,87839595;48,55485038;10,0585444;9,65564291;25,5007666;Rennrad;26.06.2016;16:07:57;05:48:30;73;183;Race
353,4;16,3962;466,2;39,2328;273,8;48,74395232;48,71117254;9,517309237;9,473059578;18,67776995;Rennrad;03.04.2020;14:18:24;13:21:52;75;183;Training
549,2;35,05091;495,2;52,1676;255,2;48,79155717;48,71703702;9,517571423;9,404855613;26,41051531;Rennrad;15.02.2020;15:44:15;14:15:32;75;183;Training
272,8;10,91717;1565;48,942;1388,6;46,96352938;46,93391369;11,02886285;11,00905591;23,50382045;Rennrad;01.09.2018;12:00:14;11:28:11;70;183;Training
416,8;24,66767;477,8;45,2448;279,4;48,75590483;48,71546558;9,561092947;9,506516783;22,90291549;Rennrad;11.06.2016;14:05:52;13:02:16;73;183;Training
5508,8;268,30928;811,2;64,3248;308,6;48,79510707;48,52361354;9,931446165;9,377312344;28,07889768;Rennrad;24.06.2018;18:17:10;05:40:24;73;183;Race
387,4;22,87681;407,4;42,9624;274;48,71740918;48,66602316;9,565025484;9,51166478;23,74183734;Rennrad;18.03.2018;17:01:13;16:02:15;74;183;Training
